Mark,arv,rikkumisi,osakaal,Mark_eng
AUDI,59755,3035,51,AUDI
BMW,45172.5,3347,74,BMW
CHRYSLER,10479,379,36,CHRYSLER
CITROEN,14692.5,457,31,CITROEN
FORD,56466,1192,21,FORD
HONDA,27829,944,34,HONDA
HYUNDAI,12332.5,319,26,HYUNDAI
KIA,13410.5,532,40,KIA
MAZDA,22071.5,560,25,MAZDA
MERCEDES-BENZ,34733,2046,59,MERCEDES-BENZ
MITSUBISHI,13569,304,22,MITSUBISHI
muu,69069.5,2263,33,other
NISSAN,24408,591,24,NISSAN
OPEL,43580,787,18,OPEL
PEUGEOT,18668.5,547,29,PEUGEOT
RENAULT,17850,423,24,RENAULT
SUBARU,10322,572,55,SUBARU
ŠKODA,23856,1097,46,ŠKODA
TOYOTA,51689.5,2233,43,TOYOTA
VAZ,18962.5,17,1,VAZ
VOLKSWAGEN,93968,3066,33,VOLKSWAGEN
VOLVO,31663,1675,53,VOLVO
